_date_,r20
1952-01-01,4.11
1952-02-01,4.26
1952-03-01,4.33
1952-04-01,4.23
1952-05-01,4.36
1952-06-01,4.57
1952-07-01,4.36
1952-08-01,4.11
1952-09-01,4.20
1952-10-01,4.19
1952-11-01,4.15
1952-12-01,4.22
1953-01-01,4.13
1953-02-01,4.10
1953-03-01,4.04
1953-04-01,3.94
1953-05-01,3.95
1953-06-01,4.02
1953-07-01,3.98
1953-08-01,3.94
1953-09-01,3.78
1953-10-01,3.80
1953-11-01,3.78
1953-12-01,3.83
1954-01-01,3.79
1954-02-01,3.79
1954-03-01,3.76
1954-04-01,3.71
1954-05-01,3.65
1954-06-01,3.61
1954-07-01,3.35
1954-08-01,3.36
1954-09-01,3.35
1954-10-01,3.35
1954-11-01,3.38
1954-12-01,3.51
1955-01-01,3.64
1955-02-01,3.85
1955-03-01,3.83
1955-04-01,4.15
1955-05-01,4.21
1955-06-01,4.33
1955-07-01,4.47
1955-08-01,4.84
1955-09-01,4.68
1955-10-01,4.50
1955-11-01,4.64
1955-12-01,4.70
1956-01-01,4.84
1956-02-01,4.87
1956-03-01,5.02
1956-04-01,4.85
1956-05-01,5.12
1956-06-01,5.25
1956-07-01,5.27
1956-08-01,5.20
1956-09-01,5.35
1956-10-01,5.33
1956-11-01,5.50
1956-12-01,5.29
1957-01-01,4.91
1957-02-01,4.93
1957-03-01,5.08
1957-04-01,5.11
1957-05-01,5.43
1957-06-01,5.55
1957-07-01,5.60
1957-08-01,5.75
1957-09-01,5.98
1957-10-01,5.84
1957-11-01,5.89
1957-12-01,5.81
1958-01-01,5.66
1958-02-01,5.65
1958-03-01,5.64
1958-04-01,5.45
1958-05-01,5.46
1958-06-01,5.45
1958-07-01,5.46
1958-08-01,5.49
1958-09-01,5.36
1958-10-01,5.35
1958-11-01,5.36
1958-12-01,5.36
1959-01-01,5.20
1959-02-01,5.20
1959-03-01,5.24
1959-04-01,5.22
1959-05-01,5.28
1959-06-01,5.18
1959-07-01,5.13
1959-08-01,5.21
1959-09-01,5.33
1959-10-01,5.06
1959-11-01,5.04
1959-12-01,5.21
1960-01-01,5.34
1960-02-01,5.43
1960-03-01,5.53
1960-04-01,5.59
1960-05-01,5.62
1960-06-01,5.92
1960-07-01,5.97
1960-08-01,5.95
1960-09-01,5.97
1960-10-01,5.97
1960-11-01,5.97
1960-12-01,6.01
1961-01-01,6.01
1961-02-01,6.04
1961-03-01,6.05
1961-04-01,6.01
1961-05-01,6.08
1961-06-01,6.33
1961-07-01,6.52
1961-08-01,6.63
1961-09-01,6.65
1961-10-01,6.33
1961-11-01,6.34
1961-12-01,6.41
1962-01-01,6.35
1962-02-01,6.26
1962-03-01,6.25
1962-04-01,6.24
1962-05-01,6.25
1962-06-01,6.24
1962-07-01,5.98
1962-08-01,5.77
1962-09-01,5.27
1962-10-01,5.37
1962-11-01,5.42
1962-12-01,5.36
1963-01-01,5.54
1963-02-01,5.74
1963-03-01,5.69
1963-04-01,5.50
1963-05-01,5.31
1963-06-01,5.28
1963-07-01,5.20
1963-08-01,5.22
1963-09-01,5.21
1963-10-01,5.26
1963-11-01,5.51
1963-12-01,5.63
1964-01-01,5.64
1964-02-01,5.85
1964-03-01,5.76
1964-04-01,5.93
1964-05-01,5.90
1964-06-01,5.97
1964-07-01,6.02
1964-08-01,6.00
1964-09-01,6.00
1964-10-01,6.06
1964-11-01,6.23
1964-12-01,6.41
1965-01-01,6.41
1965-02-01,6.43
1965-03-01,6.53
1965-04-01,6.61
1965-05-01,6.76
1965-06-01,6.78
1965-07-01,6.80
1965-08-01,6.65
1965-09-01,6.35
1965-10-01,6.37
1965-11-01,6.40
1965-12-01,6.59
1966-01-01,6.52
1966-02-01,6.61
1966-03-01,6.77
1966-04-01,6.78
1966-05-01,6.82
1966-06-01,7.03
1966-07-01,7.29
1966-08-01,7.41
1966-09-01,7.29
1966-10-01,6.96
1966-11-01,6.97
1966-12-01,6.78
1967-01-01,6.58
1967-02-01,6.49
1967-03-01,6.50
1967-04-01,6.46
1967-05-01,6.65
1967-06-01,6.86
1967-07-01,6.92
1967-08-01,6.90
1967-09-01,6.98
1967-10-01,7.00
1967-11-01,7.22
1967-12-01,7.20
1968-01-01,7.28
1968-02-01,7.28
1968-03-01,7.29
1968-04-01,7.34
1968-05-01,7.50
1968-06-01,7.87
1968-07-01,7.63
1968-08-01,7.63
1968-09-01,7.64
1968-10-01,7.70
1968-11-01,7.93
1968-12-01,8.17
1969-01-01,8.47
1969-02-01,8.61
1969-03-01,8.81
1969-04-01,8.90
1969-05-01,9.46
1969-06-01,9.31
1969-07-01,9.19
1969-08-01,9.49
1969-09-01,9.21
1969-10-01,8.95
1969-11-01,9.29
1969-12-01,9.04
1970-01-01,9.03
1970-02-01,8.79
1970-03-01,8.75
1970-04-01,8.94
1970-05-01,9.40
1970-06-01,9.58
1970-07-01,9.33
1970-08-01,9.19
1970-09-01,9.28
1970-10-01,9.15
