_date_,rs
1952-01-01,0.99475
1952-02-01,1.0282500000000002
1952-03-01,2.36504166667
1952-04-01,2.3175
1952-05-01,2.3508333333300004
1952-06-01,2.45183333333
1952-07-01,2.46616666667
1952-08-01,2.46841666667
1952-09-01,2.48558333333
1952-10-01,2.415125
1952-11-01,2.389875
1952-12-01,2.41816666667
1953-01-01,2.39604166667
1953-02-01,2.40104166667
1953-03-01,2.40083333333
1953-04-01,2.3835000000000008
1953-05-01,2.36670833333
1953-06-01,2.365625
1953-07-01,2.34858333333
1953-08-01,2.334375
1953-09-01,2.1335416666699996
1953-10-01,2.097375
1953-11-01,2.09770833333
1953-12-01,2.1305833333300008
1954-01-01,2.096
1954-02-01,2.06404166667
1954-03-01,2.11508333333
1954-04-01,2.04733333333
1954-05-01,1.713875
1954-06-01,1.60616666667
1954-07-01,1.56166666667
1954-08-01,1.61329166667
1954-09-01,1.62108333333
1954-10-01,1.5876666666699998
1954-11-01,1.63779166667
1954-12-01,1.86591666667
1955-01-01,2.35641666667
1955-02-01,3.81
1955-03-01,3.797
1955-04-01,3.906
1955-05-01,3.937
1955-06-01,3.969
1955-07-01,3.971
1955-08-01,4.005
1955-09-01,4.072
1955-10-01,4.071
1955-11-01,4.104
1955-12-01,4.072
1956-01-01,4.071
1956-02-01,5.218
1956-03-01,5.165
1956-04-01,5.008
1956-05-01,4.955
1956-06-01,5.136
1956-07-01,4.9770000000000016
1956-08-01,4.027
1956-09-01,5.091
1956-10-01,4.9909999999999984
1956-11-01,5.0199999999999992
1956-12-01,4.8579999999999984
1957-01-01,4.553
1957-02-01,4.1479999999999984
1957-03-01,4.099
1957-04-01,3.914
1957-05-01,3.921
1957-06-01,3.854
1957-07-01,3.845
1957-08-01,4.1210000000000016
1957-09-01,6.6050000000000008
1957-10-01,6.603
1957-11-01,6.459
1957-12-01,6.375
1958-01-01,6.127
1958-02-01,6.014
1958-03-01,5.5229999999999984
1958-04-01,5.179
1958-05-01,4.816
1958-06-01,4.2939999999999992
1958-07-01,4.159
1958-08-01,3.76
1958-09-01,3.625
1958-10-01,3.584
1958-11-01,3.305
1958-12-01,3.152
1959-01-01,3.1070000000000004
1959-02-01,3.276
1959-03-01,3.287
1959-04-01,3.283
1959-05-01,3.382
1959-06-01,3.452
1959-07-01,3.484
1959-08-01,3.488
1959-09-01,3.472
1959-10-01,3.386
1959-11-01,3.4
1959-12-01,3.687
1960-01-01,4.538
1960-02-01,4.554
1960-03-01,4.6210000000000016
1960-04-01,4.652
1960-05-01,4.556
1960-06-01,5.681
1960-07-01,5.546
1960-08-01,5.588
1960-09-01,5.5650000000000016
1960-10-01,5.09
1960-11-01,4.639
1960-12-01,4.349
1961-01-01,4.165
1961-02-01,4.399
1961-03-01,4.4850000000000016
1961-04-01,4.407
1961-05-01,4.436
1961-06-01,4.537
1961-07-01,6.688
1961-08-01,6.7
1961-09-01,6.552
1961-10-01,5.727
1961-11-01,5.389
1961-12-01,5.4029999999999992
1962-01-01,5.242
1962-02-01,5.531
1962-03-01,4.405
1962-04-01,4.052
1962-05-01,3.816
1962-06-01,3.921
1962-07-01,3.887
1962-08-01,3.752
1962-09-01,3.635
1962-10-01,3.858
1962-11-01,3.689
1962-12-01,3.717
1963-01-01,3.491
1963-02-01,3.426
1963-03-01,3.756
1963-04-01,3.709
1963-05-01,3.635
1963-06-01,3.702
1963-07-01,3.761
1963-08-01,3.723
1963-09-01,3.674
