date,value
1850M01,-0.7
1850M02,-0.286
1850M03,-0.732
1850M04,-0.563
1850M05,-0.327
1850M06,-0.213
1850M07,-0.125
1850M08,-0.237
1850M09,-0.439
1850M10,-0.451
1850M11,-0.187
1850M12,-0.257
1851M01,-0.296
1851M02,-0.356
1851M03,-0.479
1851M04,-0.441
1851M05,-0.295
1851M06,-0.197
1851M07,-0.212
1851M08,-0.157
1851M09,-0.101
1851M10,-0.057
1851M11,-0.02
1851M12,-0.05099999999999999
1852M01,-0.315
1852M02,-0.477
1852M03,-0.502
1852M04,-0.5570000000000001
1852M05,-0.211
1852M06,-0.04
1852M07,-0.018
1852M08,-0.202
1852M09,-0.125
1852M10,-0.216
1852M11,-0.193
1852M12,0.073
1853M01,-0.182
1853M02,-0.327
1853M03,-0.309
1853M04,-0.355
1853M05,-0.268
1853M06,-0.175
1853M07,-0.059
1853M08,-0.148
1853M09,-0.404
1853M10,-0.362
1853M11,-0.255
1853M12,-0.437
1854M01,-0.365
1854M02,-0.282
1854M03,-0.286
1854M04,-0.353
1854M05,-0.233
1854M06,-0.219
1854M07,-0.227
1854M08,-0.167
1854M09,-0.119
1854M10,-0.192
1854M11,-0.367
1854M12,-0.233
1855M01,-0.169
1855M02,-0.401
1855M03,-0.306
1855M04,-0.223
1855M05,-0.338
1855M06,-0.167
1855M07,-0.271
1855M08,-0.163
1855M09,-0.336
1855M10,-0.217
1855M11,-0.214
1855M12,-0.518
1856M01,-0.122
1856M02,-0.376
1856M03,-0.528
1856M04,-0.38
1856M05,-0.129
1856M06,-0.291
1856M07,-0.304
1856M08,-0.309
1856M09,-0.461
1856M10,-0.391
1856M11,-0.608
1856M12,-0.449
1857M01,-0.513
1857M02,-0.345
1857M03,-0.434
1857M04,-0.649
1857M05,-0.57
1857M06,-0.31
1857M07,-0.5410000000000001
1857M08,-0.329
1857M09,-0.393
1857M10,-0.474
1857M11,-0.668
1857M12,-0.358
1858M01,-0.528
1858M02,-0.708
1858M03,-0.5480000000000001
1858M04,-0.512
1858M05,-0.653
1858M06,-0.582
1858M07,-0.329
1858M08,-0.278
1858M09,-0.332
1858M10,-0.211
1858M11,-0.643
1858M12,-0.304
1859M01,-0.308
1859M02,-0.189
1859M03,-0.327
1859M04,-0.195
1859M05,-0.307
1859M06,-0.248
1859M07,-0.274
1859M08,-0.1
1859M09,-0.565
1859M10,-0.249
1859M11,-0.315
1859M12,-0.363
1860M01,-0.181
1860M02,-0.426
1860M03,-0.642
1860M04,-0.332
1860M05,-0.293
1860M06,-0.309
1860M07,-0.109
1860M08,-0.182
1860M09,-0.217
1860M10,-0.195
1860M11,-0.515
1860M12,-0.762
1861M01,-0.893
1861M02,-0.508
1861M03,-0.464
1861M04,-0.386
1861M05,-0.768
1861M06,-0.189
1861M07,-0.221
1861M08,-0.094
1861M09,-0.33
1861M10,-0.362
1861M11,-0.417
1861M12,-0.247
1862M01,-0.742
1862M02,-0.78
1862M03,-0.403
1862M04,-0.24
1862M05,-0.225
1862M06,-0.336
1862M07,-0.344
1862M08,-0.7
1862M09,-0.42
1862M10,-0.42
1862M11,-0.766
1862M12,-0.887
1863M01,0.122
1863M02,-0.024
1863M03,-0.365
1863M04,-0.244
1863M05,-0.329
1863M06,-0.402
1863M07,-0.423
1863M08,-0.326
1863M09,-0.316
1863M10,-0.384
1863M11,-0.329
1863M12,-0.341
1864M01,-0.941
1864M02,-0.632
1864M03,-0.507
