date,wine,spirits
1950,0.09,0.5
1951,0.12,0.6
1952,0.09,0.5
1953,0.11,0.6
1954,0.13,0.6
1955,0.14,0.6
1956,0.15,0.7
1957,0.16,0.7
1958,0.16,0.7
1959,0.18,0.7
1960,0.21,0.7
1961,0.22,0.8
1962,0.2,0.8
1963,0.23,0.8
1964,0.26,0.9
1965,0.26,0.8
1966,0.26,0.8
1967,0.3,0.8
1968,0.34,0.9
1969,0.35,0.8
1970,0.32,0.9
1971,0.4,1
1972,0.48,1.1
1973,0.66,1.4
1974,0.61,1.5
1975,0.54,1.5
1976,0.55,1.7
1977,0.65,1.4
1978,0.66,1.7
1979,0.83,1.9
1980,0.71,1.8
1981,0.84,1.7
1982,0.84,1.6
1983,0.94,1.6
1984,1.07,1.6
1985,1.12,1.7
1986,1.17,1.7
1987,1.26,1.6
1988,1.28,1.8
1989,1.3,1.8
1990,1.32,1.8
1991,1.28,1.7
1992,1.32,1.6
1993,1.35,1.5
1994,1.52,1.5
1995,1.29,1.5
1996,1.4,1.4
1997,1.66,1.4
1998,1.68,1.4
1999,1.77,1.5
2000,1.75,1.6
2001,1.97,1.6
2002,2.01,1.9
2003,2.22,2
2004,2.53,2.1
2005,2.54,2
2006,2.26,1.8
2007,2.24,1.9
2008,2.06,1.9
2009,2.08,1.8
2010,2.26,1.9
2011,2.38,1.8
2012,2.32,1.8
2013,2.07,1.7
2014,2.5,1.7
2015,2.56,1.9
2016,2.49,NA
