_date_,rainfall
1875M02,46.5
1875M03,27.2
1875M04,39.1
1875M05,52
1875M06,92.8
1875M07,142.7
1875M08,67.5
1875M09,96.2
1875M10,157.3
1875M11,145.6
1875M12,47.5
1876M01,47.1
1876M02,97.7
1876M03,99.4
1876M04,84.7
1876M05,23.6
1876M06,55.6
1876M07,47.2
1876M08,83.5
1876M09,141.5
1876M10,74.4
1876M11,108.4
1876M12,193.9
1877M01,146.8
1877M02,77.6
1877M03,76.3
1877M04,93.6
1877M05,79.5
1877M06,46.3
1877M07,108.5
1877M08,136.1
1877M09,74.3
1877M10,86
1877M11,141.5
1877M12,77.6
1878M01,68.4
1878M02,50.6
1878M03,38.7
1878M04,69.2
1878M05,117.6
1878M06,76.4
1878M07,39.3
1878M08,155.2
1878M09,72.6
1878M10,104.4
1878M11,118
1878M12,73.1
1879M01,71.5
1879M02,105.4
1879M03,36.9
1879M04,72.4
1879M05,81.4
1879M06,139.3
1879M07,121.4
1879M08,148.5
1879M09,89.7
1879M10,41
1879M11,37.3
1879M12,38.1
1880M01,16.2
1880M02,84.1
1880M03,52.1
1880M04,56.4
1880M05,38.6
1880M06,81.3
1880M07,157.5
1880M08,40.1
1880M09,119.8
1880M10,161.4
1880M11,97.9
1880M12,122.8
1881M01,35.5
1881M02,109.9
1881M03,81.9
1881M04,34.2
1881M05,53.1
1881M06,68.9
1881M07,75.3
1881M08,143.7
1881M09,73
1881M10,82
1881M11,105.9
1881M12,103.3
1882M01,68.9
1882M02,62.5
1882M03,52.4
1882M04,114
1882M05,50.3
1882M06,104.7
1882M07,113.1
1882M08,85
1882M09,75.8
1882M10,162.6
1882M11,131.4
1882M12,125.5
1883M01,98.5
1883M02,107.7
1883M03,37.7
1883M04,45.4
1883M05,49.3
1883M06,85.2
1883M07,96.7
1883M08,46.4
1883M09,140.8
1883M10,97
1883M11,117.7
1883M12,52
1884M01,108.7
1884M02,70.7
1884M03,66.4
1884M04,47.2
1884M05,39.1
1884M06,41.3
1884M07,97.5
1884M08,47.7
1884M09,66.4
1884M10,51.8
1884M11,51.2
1884M12,103.5
1885M01,68.3
1885M02,93.1
1885M03,49.5
1885M04,63.2
1885M05,80.1
1885M06,62.5
1885M07,24.5
1885M08,61.2
1885M09,127.1
1885M10,147.6
1885M11,98.5
1885M12,42
1886M01,120.2
1886M02,29.5
1886M03,77.6
1886M04,59
1886M05,123.1
1886M06,31.9
1886M07,105.3
1886M08,52.2
1886M09,72.1
1886M10,135.6
1886M11,99.4
1886M12,145.2
1887M01,71.8
1887M02,24.1
1887M03,49.8
1887M04,36.6
1887M05,54
1887M06,20.8
1887M07,38.1
1887M08,53.4
1887M09,94.2
1887M10,71.4
1887M11,86.1
1887M12,69
1888M01,39
1888M02,38.9
1888M03,97.2
1888M04,49.8
1888M05,35.7
1888M06,73.9
1888M07,156.6
1888M08,86.3
1888M09,34.2
1888M10,43.5
1888M11,150.1
1888M12,73.1
1889M01,38.2
1889M02,60.2
1889M03,78
1889M04,80.3
1889M05,94.8
1889M06,23.2
1889M07,87.8
1889M08,98.3
1889M09,58.8
1889M10,127.9
1889M11,43.5
1889M12,58.2
1890M01,106.3
1890M02,29
1890M03,61
1890M04,44.5
1890M05,68.1
1890M06,79.8
1890M07,87.1
1890M08,97.5
1890M09,45.3
1890M10,56.2
1890M11,117.2
1890M12,34.4
1891M01,67.2
1891M02,3.6
1891M03,59
1891M04,45
1891M05,83.2
1891M06,53.9
1891M07,84.6
1891M08,149.3
1891M09,65.6
1891M10,162.3
1891M11,90.7
1891M12,132.2
1892M01,53.5
1892M02,58.1
1892M03,29.5
1892M04,38
1892M05,60.9
1892M06,80.5
1892M07,67.4
1892M08,100.5
1892M09,87.5
1892M10,131.6
1892M11,69.2
1892M12,52.5
1893M01,57.8
1893M02,103.5
1893M03,15.8
1893M04,9.9
1893M05,45.8
1893M06,38.9
1893M07,104.4
1893M08,61.4
1893M09,58.2
1893M10,98.6
1893M11,74
1893M12,87.9
1894M01,89
1894M02,85.8
1894M03,56.1
1894M04,55
1894M05,65.8
1894M06,72.8
1894M07,102.4
1894M08,88.7
1894M09,50.1
1894M10,120.8
1894M11,114.2
1894M12,79.4
1895M01,100.9
1895M02,11.1
1895M03,73.9
1895M04,55.2
1895M05,17.7
1895M06,38.1
1895M07,116.9
1895M08,92.4
1895M09,23.3
1895M10,113.3
1895M11,122.2
1895M12,90.8
1896M01,36
1896M02,24.4
1896M03,99.6
1896M04,30.4
1896M05,12
1896M06,69.5
1896M07,52.5
1896M08,62.6
1896M09,160.7
1896M10,113
1896M11,40.7
1896M12,137.3
1897M01,61.7
1897M02,90.8
1897M03,108.8
1897M04,69.3
1897M05,39.8
1897M06,77.7
1897M07,36.5
1897M08,117.5
1897M09,93.9
1897M10,38.2
1897M11,69.2
1897M12,112.4
1898M01,40.6
1898M02,51.8
1898M03,40.1
1898M04,57.9
1898M05,88.9
1898M06,55.9
1898M07,25.2
1898M08,85.1
1898M09,27.8
1898M10,117.5
1898M11,87.5
1898M12,92.1
1899M01,119.3
1899M02,75.5
1899M03,35.6
1899M04,79.8
1899M05,70.1
1899M06,43.2
1899M07,49.8
1899M08,39.9
1899M09,92.9
1899M10,81.6
1899M11,79.2
1899M12,73.2
1900M01,118
1900M02,131.7
1900M03,30.7
1900M04,43.7
1900M05,46.6
1900M06,85.2
1900M07,48.1
1900M08,112
1900M09,31.8
1900M10,104.6
1900M11,99.2
1900M12,123.6
1901M01,56.3
1901M02,41.7
1901M03,70.4
1901M04,73.8
1901M05,35
1901M06,57.2
1901M07,71.9
1901M08,68
1901M09,56
1901M10,72.3
1901M11,66.5
1901M12,136.1
1902M01,44.9
1902M02,44.4
1902M03,54.2
1902M04,45.8
1902M05,72.5
1902M06,71.5
1902M07,57.1
1902M08,93.7
1902M09,48.5
1902M10,78.2
1902M11,75.2
1902M12,71.6
1903M01,96.7
1903M02,38.8
1903M03,109.5
1903M04,58.5
1903M05,83.7
1903M06,82.9
1903M07,103.9
1903M08,122.7
1903M09,102.9
1903M10,218.1
1903M11,70.1
1903M12,72.5
1904M01,99
1904M02,112.1
1904M03,50.7
1904M04,46.1
1904M05,74.4
1904M06,32.8
1904M07,74.9
1904M08,82.4
1904M09,58.1
1904M10,44.4
1904M11,62.7
1904M12,77.6
1905M01,38.8
1905M02,36.3
1905M03,102.4
1905M04,72.4
1905M05,22.5
1905M06,81.5
1905M07,37.4
1905M08,105.4
1905M09,57
1905M10,67.1
1905M11,111.9
1905M12,31.8
1906M01,135.7
1906M02,78.7
1906M03,57.6
1906M04,29.4
1906M05,84
1906M06,66.2
1906M07,34
1906M08,70.1
1906M09,33.7
1906M10,146.9
1906M11,109.8
1906M12,80.1
1907M01,38.5
1907M02,46.8
1907M03,43.2
1907M04,81.3
1907M05,91.4
1907M06,91
1907M07,67.3
1907M08,73.9
1907M09,22.6
1907M10,152.6
1907M11,78
1907M12,112.5
1908M01,55.7
1908M02,54.6
